,Month,Year,Articles
0,1,2010,4
1,2,2010,6
2,3,2010,10
3,4,2010,8
4,5,2010,5
5,6,2010,8
6,7,2010,11
7,8,2010,5
8,9,2010,7
9,10,2010,14
10,11,2010,25
11,12,2010,5
12,1,2011,7
13,2,2011,8
14,3,2011,4
15,4,2011,11
16,5,2011,7
17,6,2011,9
18,7,2011,44
19,8,2011,16
20,9,2011,8
21,10,2011,13
22,11,2011,12
23,12,2011,9
24,1,2012,16
25,2,2012,6
26,3,2012,12
27,4,2012,7
28,5,2012,7
29,6,2012,9
30,7,2012,15
31,8,2012,17
32,9,2012,21
33,10,2012,17
34,11,2012,16
35,12,2012,12
36,1,2013,23
37,2,2013,11
38,3,2013,14
39,4,2013,17
40,5,2013,14
41,6,2013,12
42,7,2013,23
43,8,2013,24
44,9,2013,15
45,10,2013,27
46,11,2013,200
47,12,2013,11
48,1,2014,19
49,2,2014,28
50,3,2014,21
51,4,2014,28
52,5,2014,30
53,6,2014,22
54,7,2014,50
55,8,2014,17
56,9,2014,29
57,10,2014,30
58,11,2014,27
59,12,2014,34
60,1,2015,28
61,2,2015,42
62,3,2015,43
63,4,2015,32
64,5,2015,28
65,6,2015,40
66,7,2015,36
67,8,2015,40
68,9,2015,33
69,10,2015,38
70,11,2015,77
71,12,2015,47
72,1,2016,46
73,2,2016,24
74,3,2016,57
75,4,2016,27
76,5,2016,3
77,6,2016,1
78,7,2016,0
79,8,2016,3
80,9,2016,0
81,10,2016,21
82,11,2016,58
83,12,2016,36
84,1,2017,9
85,2,2017,9
86,3,2017,2
87,4,2017,8
88,5,2017,12
89,6,2017,12
90,7,2017,6
91,8,2017,13
92,9,2017,13
93,10,2017,7
94,11,2017,36
95,12,2017,21
96,1,2018,213
97,2,2018,191
98,3,2018,165
99,4,2018,81
100,5,2018,86
101,6,2018,95
102,7,2018,338
103,8,2018,88
104,9,2018,91
105,10,2018,152
106,11,2018,205
107,12,2018,149
108,1,2019,103
109,2,2019,98
110,3,2019,100
111,4,2019,66
112,5,2019,52
113,6,2019,85
114,7,2019,165
115,8,2019,119
116,9,2019,169
117,10,2019,61
118,11,2019,475
119,12,2019,155
120,1,2020,164
121,2,2020,148
122,3,2020,203
123,4,2020,161
124,5,2020,106
125,6,2020,123
126,7,2020,104
127,8,2020,125
128,9,2020,496
129,10,2020,303
130,11,2020,150
131,12,2020,307
